thread_id,user_id,msg_id,time,msg
1751098,219405,1,2019-11-24 23:53:45,運動發生咗咁耐，可以完全避重就輕，完全唔表態，無論朋友定家人，問多兩句就派膠，話咩冇咗民建聯就邊度有咁多蛇齋餅粽過節，心諗佢平時真係攞民建聯好多著數，作為佢個仔真係屌哂鬼。今日投票日，我都唔爭氣九點幾先起身，拉住阿媽家姐細佬四個人一齊投票。點知見到我老豆排完又排，仲要讓啲年青人行先，又會屌啲想插隊嘅廢老，真係好撚正，好撚柒型。跟住聽我阿媽同我講返，原來我當年小學未懂事嘅時候，泛民辭職變相五區公投，佢拉咗成條街嘅街坊一齊去投票，因為我老豆老母賣報紙嘅，真係全條街都信佢囉！宜家諗返佢呢幾個月一定有出過嚟用魔法燒嘢食畀啲popo食囉！最正係佢撚到住我隔離嗰個藍絲阿叔投白票:o)老豆你係得嘅！#kill#lm2
1747550,60977,367,2019-11-24 23:48:50,[member]原本想白票架喇一見到六點半個隊撚樣，即轉呔[/member]
1749777,32505,128,2019-11-24 23:44:15,真心雖然大家都對體制冇信心但係投票係我地嘅權利 同食飯訓覺一樣咩白票反對都on9但係政府咁淡定一定有詭計xx(xx(xx(
1750983,55194,120,2019-11-24 23:42:17,唔係第一日既事叫撚左你地投票總係有人玩野白票同放棄呢種就係香港人
1750939,268623,53,2019-11-24 23:39:27,熱血公民幾時有叫人投白票？
1750417,31723,284,2019-11-24 23:27:19,唔可以無論係任何平台都唔可以比保皇黨生存 包括區議會重有黃藍早就歸邊 警暴721同5大訴求未回應 唔會完我唔明你班白票撚點解會覺得區議會輸咗=場運動完
1750802,65139,18,2019-11-24 23:19:48,推監票運箱開箱總數廢票白票爭議票都要留心
1750846,65139,7,2019-11-24 23:19:34,推監票運箱開箱總數廢票白票爭議票都要留心
1750481,31723,276,2019-11-24 23:19:00,頂你班白票撚屌極都唔明我哋係人都知飯民同個選舉制度冇用啦（鬼叫你本土咁少人咩）今次投票係要保皇黨消失唔理係咩平台包括區議會呀:-[我哋犧牲咗幾千人 唔係重容許班保皇黨繼續涼冷氣起大白象下話
1750939,188906,33,2019-11-24 23:08:16,"白票抗共唔投票抗共射落海抗共投建制抗共聽都覺得on9 la, 重要咁多人追捧我真係屌曬你地老母[size=6][red]出嚟呀熱狗！[/red][/size=6]"
1750989,231007,1,2019-11-24 23:03:38,[size=4]1.票箱唔見左2.大量選票被作廢或白票3.選情結果與投票情況不一致4.票箱被狗運走和進行二次點票[/size=4]
1750939,262063,31,2019-11-24 23:02:52,講真，有無前線係熱狗信徒？俾狗打之後投建制或白票幫建制枱轎係人格分裂，定個個都只係鍵盤勇武
1750981,25168,1,2019-11-24 23:02:01,屌人有用既話班狗一早比人屌醒啦人地鍾意投白票咪白票囉投票在於每個人自由選擇迫人投泛民真係痴撚線同掌心雷無撚分別
1748020,9542,663,2019-11-24 22:58:06,上次有班傻仔又白票又焦土，多左都唔出奇今次支共要嬴民意一定出大技，建制狗大勝都正常
1750796,163938,136,2019-11-24 22:57:11,成功爭取紅底老竇投白票xx(盡咗力
1750954,147467,8,2019-11-24 22:56:36,投白票同無投票兩樣野黎...:o)
1750939,1874,18,2019-11-24 22:56:27,佢地好沉迷一套拎住泛民往績黎叫人投白票如果講往績佢地話公眾係白痴 / 我要食熱狗瘋狂咬天琦淨係呢兩筆都可以叫人唔好投熱狗既區但大家咪一樣含淚投左係得佢地永遠都私怨行先
1750954,255842,6,2019-11-24 22:55:58,有大把投白票
