thread_id,user_id,msg_id,time,date,msg,opinion
1750939,262063,31,2019-11-24 23:02:52,2019-11-24,講真，有無前線係熱狗信徒？俾狗打之後投建制或白票幫建制枱轎係人格分裂，定個個都只係鍵盤勇武,0
1750939,1874,18,2019-11-24 22:56:27,2019-11-24,佢地好沉迷一套拎住泛民往績黎叫人投白票如果講往績佢地話公眾係白痴 / 我要食熱狗瘋狂咬天琦淨係呢兩筆都可以叫人唔好投熱狗既區但大家咪一樣含淚投左係得佢地永遠都私怨行先,0
1750939,287048,8,2019-11-24 22:52:39,2019-11-24,就算我哋幾憎熱狗，當熱狗單挑建制派，我哋都會勸投熱狗但掉調返轉呢？你竟然勸投白票投建制？,2
1750879,45753,223,2019-11-24 22:47:48,2019-11-24,下 成個連登都係屌票wo  投白票係鬼 分化撚#haha#dog#haha#dog#haha#dog,2
1750872,128640,1,2019-11-24 22:22:50,2019-11-24,和理非泛民其實冇野輸15年都係咁輸啦架最多未齊齊做返港豬#:)#dog基本上區選一輸被出賣既就係前線勇武失去民意 變哂真暴徙多謝熱狗投白票投建制#touch#dog,0
1750654,50972,120,2019-11-24 22:13:09,2019-11-24,15年係屌票 白票 界票高峰期同而家情況差好遠,0
1750615,177243,90,2019-11-24 22:05:06,2019-11-24,白票撚同杯葛撚都係食屎狗,2
1750417,268856,203,2019-11-24 21:49:21,2019-11-24,我自己咁睇啦唔投係因為唔認同個選舉投白票係因為冇嘢搞兄弟爬山 各有各做啦 我只會當區選係抗爭其中一個方式 一個和理非活動btw 大家記得去監票 + 國際線宣傳種票,0
1750417,71428,193,2019-11-24 21:42:27,2019-11-24,投白票咪撚做選民啦,2
1750717,290944,8,2019-11-24 21:36:10,2019-11-24,叫投白票d都係垃圾！！！,2
1750752,62369,8,2019-11-24 21:33:42,2019-11-24,無論投泛民定熱血公民都無所謂最緊要唔好投建制唔好投白票,2
1750741,36040,1,2019-11-24 21:26:14,2019-11-24,因為唔投票或者投白票都只係幫緊建制派同正苦得到更多嘅民意授權.投本土或者泛民都係抗爭嘅其中一種手段~,0
1750654,67356,19,2019-11-24 21:18:05,2019-11-24,我都覺得今次少咗廢票撚白票撚杯葛選舉撚主要係凝聚力強咗,0
1750706,231864,1,2019-11-24 21:15:27,2019-11-24,自己諗吓邊個最唔想我哋投票外界係睇數據㗎咋自命清高以為自己好醒點知寧願做政府藍屍幫兇笑撚死人咩 邊個會留意白票呀和理非遊行同勇武示威 cctvb都淨播勇武啦識唔識咩叫重點呀冇民意支持 勇武仲敢咁大聲？其實唔只含淚 含撚都要投非建制你班熱狗最叻割自己友 私怨上腦,0
1750492,30506,336,2019-11-24 21:11:33,2019-11-24,其實你應該係指點解仲要參與個體制[sosad]你應該一係三毛 一係就今日冇投到票但呢幾日討論白唔白票已經有結論啦,0
1747813,101485,280,2019-11-24 20:59:58,2019-11-24,唔係鬼 係on9姐 唔投咪益左建制派 因為今次選舉變相公投 唔投/投白票會被視為唔支持示威者 藍絲不嬲當自己係沉默的大多數 拿 佢地logic唔係岩架 但本身我地示威者六月個陣叫人登記個目的 就係想班廢老自己懷疑人生 知道自己先係少數派 如果今次票數泛民總票數佔少既話 咁我諗今次示威都應該玩完 國際/本地戰線都gg[sosad],0
1747120,15945,630,2019-11-24 20:54:07,2019-11-24,非分化，不過好老實含埋今次當做民調。真係好希望泛民同泛民支持者可以反省下。點解可以容許泛民成日棄權缺席，選民唔係投完就算，仲要發揮監察作用責成當選人根據選民意願去工作。明明成日話白票棄權唔投=益對家，點解自己又要咁做...呢一個位係泛民以外既反對派卻步既最大原因。,2
